name,Meadow ID,Meadow Name,Meadow Reference,Assessment Date,Assessment Points,Assessment Completed,Organization Affiliation,Elevation_m,Slope,Hydrogeomorphic Type,Land Ownership,Bank Height,Secondary Channel Bank Height,Gullies,Left Bank Stability,Right Bank Stability,Total Bank Stability,Secondary Channel Bank Stability,Vegetation Cover,Bare Ground,Encroachment,Restoration Efforts,Comments on Restoration,Headcut Present,Number of Headcuts,Ponds Present,Aspen Trees Present,Grazing Trails,Stubble,Dung in Channel,Hoof Prints on Banks,Surveyor(s),Trail,Evidence of OHV use,Road,Corral,Building,Vehical Access,Adjacent Culvert,Adjacent Bridge,Adjacent Road,Adjacent Building,Gopher Disturbance,"Willow, Alder, and Aspen Coverage",Fish Observed,Beavers,Latitude,Longitude,Watershed,General Comments
Cinko Lake Meadow  Assessment,,Cinko Lake Meadow ,UCDSNM011346,"Thursday, June 20, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Moderately Impacted,No,,No,0,,No,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,0,0.05,,,38.207293,-119.591875,,Located on a fairly small trib to the West Walker. Horrible mosquitos. 
Lower Piute Meadow  Assessment,,Lower Piute Meadow ,UCDSNM011452,"Saturday, June 22, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Moderately Impacted,,Slightly Impacted,,Heavily Impacted,No,,No,0,,No,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,7,0.05,,,38.224772,-119.551967,,Lots of conifer encroachment. Lots of small brook trout in the side channels. 
Middle Piute Meaodw  Assessment,,Middle Piute Meaodw ,UCDSNM011315,"Saturday, June 22, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,,Moderately Impacted,No,,No,0,,No,No,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,1,0.05,,,38.201415,-119.550623,,Located in the Hoover Wilderness. Old buck and pole grazing fence. Small trib enters the West Walker in this meadow. 
Upper Piute Meadow  Assessment,,Upper Piute Meadow ,UCDSNM011287,"Friday, June 21, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Moderately Impacted,,Slightly Impacted,,Slightly Impacted,No,,No,0,,No,No,No,No,No,Jacob Dyste,Yes,No,No,Yes,Yes,No,No,No,No,Yes,8,0.05,,,38.191592,-119.535574,,There are large meander scars in the meadow. There was probably historic grazing with some old fence and the Piute Cabin. Fence poles with the barbed wire cutoff. Upper portion of the meadow is drier than the lower portion. Located in the Hoover Wilderness. 
Hawksbeak Meadow Assessment,,Hawksbeak Meadow,UCDSNM011038,"Friday, June 21, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Natural Condition,No,,No,0,,No,No,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,5,0.1,,,38.14766,-119.511985,,This meadow is extremly remote in the Hoover Wilderness. Cannot stress enough how remote it is. There were horse tracks in the meadow. Meadow is in amazing shape. There are willows stabilizing the banks. There are ponds in the meadow. Mountain yellow-legged frog was spotted. 
Bullfrog Meadow  Assessment,,Bullfrog Meadow ,UCDSNM000971,"Tuesday, July 9, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,,Moderately Impacted,Yes,Stabilized headcuts ,Yes,3,No,No,Yes,Yes,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,1,0.01,,,36.403895,-118.216548,,There are headcuts that could be treated. Hummocks and broken sod at the start of transect 2. Active grazing in the meadow. Long history of grazing. Past headcut work appears to be effective and stable 
Big Whitney Meadow  Assessment,,Big Whitney Meadow ,UCDSNM001071,"Monday, July 15, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,Slightly Impacted,Slightly Impacted,,,Slightly Impacted,Slightly Impacted,Natural Condition,,Heavily Impacted,Yes,Resting from grazing ,Yes,37,No,No,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,1,0.05,,,36.433279,-118.265801,,In remote wilderness with lots of springs. East half of the meadow is significantly drier. Non-meadow steep sections connected larger meadow areas. East side is higher elevation. Hummocks worse in the NW part of meadow. Lower east half is very dry. 
South Fork Meadow  Assessment,,South Fork Meadow ,UCDSNM000963,"Wednesday, July 10, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Slightly Impacted,,Natural Condition,,Slightly Impacted,Yes,Resting from grazing ,No,0,No,No,No,No,Yes,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,2,0.35,,,36.415377,-118.243552,,Could repair headcut with a hand crew. Some hummocks. 
Little Whitney Meadow  Assessment,,Little Whitney Meadow ,UCDSNM000781,"Sunday, July 14, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,Natural Condition,Slightly Impacted,,,Slightly Impacted,Natural Condition,Slightly Impacted,,Slightly Impacted,Yes,Resting and fencing ,Yes,3,No,No,No,No,No,No,Jacob Dyste,Yes,No,No,Yes,Yes,No,No,No,No,Yes,2,0.25,,,36.374774,-118.346474,,In remote wilderness. Could use localized headcut repair. NW stringer is dry. Historic structure now used for snow surveys.
Ramshaw Meadow  Assessment,,Ramshaw Meadow ,UCDSNM000750,"Friday, July 12, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,Slightly Impacted,Moderately Impacted,,,Moderately Impacted,Slightly Impacted,Natural Condition,,Heavily Impacted,Yes,Resting and fencing ,Yes,2,No,No,No,No,Yes,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,2,0.3,,,36.350703,-118.252214,,Large meadow shaped like a Y. Old photos show inset floodplain developing after grazing. NE stringer is a small trib that looked very healthy. SE stringer has a beaver dam that is building sediment behind it for most of that section. Water is much higher behind the dam. 
Groundhog Meadow Assessment,,Groundhog Meadow,UCDSNM000740,"Saturday, July 13, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,,Slightly Impacted,Yes,Lots of headcut repair,Yes,3,No,No,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,5,0.2,,,36.367116,-118.307751,,This meadow has a bunch of headcut repairs. Some of them are failing. ACE crews are working in the area again this summer. Main channel banks are low and stable due to numerous headcut repairs. But this occurs on inset floodplain about 10 feet below the main surface in some areas. USFS mentioned this meadow was once plowed to imporve grazing forage. 
Salt Lick Meadow  Assessment,,Salt Lick Meadow ,UCDSNM000855,"Sunday, July 14, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,Yes,Resting from grazing ,Yes,3,No,No,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,11,0.1,,,36.391592,-118.335775,,"In remote wilderness. Lower headcut warrants repair, could be done with hand labor. One major trib on the south stringer with many small braided channels. "
Horseshoe Meadow  Assessment,,Horseshoe Meadow ,UCDSNM001115,"Tuesday, July 16, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Heavily Impacted,,Natural Condition,,Heavily Impacted,No,,Yes,7,No,No,Yes,Yes,Yes,Yes,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,Yes,0,0.1,,,36.446806,-118.18326,,"Relatively accessible but within the wilderness. Currently being grazed with significant impact. Should probably be rested from grazing. Lots of stagnant water, algae blooms, and fish kills in downstream area. Severely trampled banks. Very botoom of the delineated area is steep. "
Round Valley Meadow  Assessment,,Round Valley Meadow ,UCDSNM001115,"Tuesday, July 16, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Heavily Impacted,,Heavily Impacted,,,Heavily Impacted,,Natural Condition,,Heavily Impacted,Yes,Headcut repair,No,0,No,No,Yes,Yes,Yes,Yes,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,0,0,,,36.438745,-118.174598,,Headcut repair in the center of the meadow seem to be working. Below those headcut repair is heavy sage encroachment with very high unstable banks. Some 10 ft plus banks. 2 upper transects were conducted about the headcut repair. Some bareground due to hoof activity. 
Poison Meadow  Assessment,,Poison Meadow ,UCDSNM001115,"Tuesday, July 16, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Moderately Impacted,,Natural Condition,,Moderately Impacted,Yes,Headcut repair,Yes,10,No,No,Yes,Yes,Yes,Yes,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,4,0.1,,,36.433553,-118.200753,,In remote wilderness. Severe grazing impacts. Cattle grazing would need to be halted to restore. Really bad hummocks. Had cows in it. 
Tunnel Meadow  Assessment,,Tunnel Meadow ,UCDSNM000802,"Thursday, July 11, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,,Heavily Impacted,Yes,Fencing to keep grazing out. Resting from grazing.,Yes,1,No,No,No,No,Yes,No,Jacob Dyste,Yes,Yes,No,No,No,No,No,No,No,No,3,0.3,,,36.376552,-118.272255,,"Would need to be huge restoration project to make a real difference. Low stable banks within the inset floodplain, but there are sections with 8 ft. banks. Higher banks upstream, lower and more stable downstream. Had some difficulty determining the pre-grazing condition, should follow up w/ forest archaeologist. "
Stokes Meadow  Assessment,,Stokes Meadow ,UCDSNM001084,"Monday, July 15, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Slightly Impacted,,Heavily Impacted,Yes,Resting from grazing ,Yes,2,No,No,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,7,0.01,,,36.441341,-118.246609,,Probably not a high restoration priority for aquatic species because it dries up early. Remote. Most of the channel is dry and it is difficult to discern between headcuts and pooling pattern. 
Volcano Meadow Assessment,,Volcano Meadow,UCDSNM000675,"Saturday, July 13, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,Slightly Impacted,Natural Condition,,,Natural Condition,Slightly Impacted,Slightly Impacted,,Slightly Impacted,Yes,Resting from grazing ,Yes,1,No,No,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,5,0.1,,,36.353028,-118.323886,,Small headcut in the mid meadow. Drying of meadow on the river left side but the dry channels not dominated by sage. Right and left stringers were dry with associated drying of vegetation. Main channel set in low inset floodplain. 
Golden Trout Meadow  Assessment,,Golden Trout Meadow ,UCDSNM000714,"Thursday, July 11, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Slightly Impacted,,Moderately Impacted,No,There is some fencing but it is hard to determine its effectiveness. ,No,0,No,No,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,0,0.8,,,36.362739,-118.293655,,This is not exactly a meadow. It seems to be an outwash plain where the creek settles out. Lots of sediment and sand with willow. No restoration necessary. Not a lot of established herbaceous vegetation. 
McConnel Meadow  Assessment,,McConnel Meadow ,UCDSNM000817,"Wednesday, July 10, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Natural Condition,Yes,Resting of grazing,No,0,No,No,No,No,Yes,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,2,0.05,,,36.382158,-118.239476,,"In remote wilderness, no trail access. Saw a black bear grazing in the center of the meadow! "
Summit Meadow  Assessment,,Summit Meadow ,UCDSNM011926,"Friday, September 6, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,No,,No,0,No,Yes,No,No,Yes,No,Jacob Dyste,No,Yes,Yes,No,No,Yes,No,No,No,Yes,0,0.05,,,38.413688,-119.51714,,There is no real need for restoration of this meadow. There are very distinct sections of the meadow and several different streams. Looks like the military base uses this area for some exercises. There are several springs in this meadow. 
Kirman Lake Meadow Assessment,,Kirman Lake Meadow,UCDSNM011733,"Saturday, September 7, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Slightly Impacted,,Natural Condition,,Slightly Impacted,No,,Yes,5,No,No,Yes,No,Yes,No,Jacob Dyste,No,No,Yes,No,No,Yes,No,No,Yes,No,0,0,,,38.336696,-119.508718,,There is a very rough road that goes up to meadow but it would be hard to cross the West Walker River to get to the road to accomplish restoration. The meadow is very dry but is a nice pocket meadow below a lake. The headcuts are very low and have serious threat to move and really damage the meadow. Headcuts could be repaired with a Conservation Corps. Encroachment seems fairly new. 
Beartrap Lake Meadow Assessment,,Beartrap Lake Meadow,UCDSNM011269,"Saturday, September 7, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,No,,No,0,No,No,Yes,Yes,Yes,Yes,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,0,0.5,,,38.192347,-119.511693,,"Much of the delineation is not actually meadow. In remote wilderness. Was being grazed by sheep, there was a Peruvian sheep herder who said there were 1250 sheep. Beautiful meadow, very wet in places, several ponds and plunge pools filled with fish. Grazing impacts appear to be relatively moderate. "
Molydbenite Meadow  Assessment,,Molydbenite Meadow ,UCDSNM011568,"Friday, September 6, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Slightly Impacted,,Natural Condition,,Slightly Impacted,No,,No,0,Yes,Yes,Yes,Yes,Yes,Yes,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,1,0.3,,,38.25916,-119.425923,,"Remote, in wilderness. Over 100 head of cattle currently grazing the meadow. Very bad hummocks. Pond area is fairly dry. Looks like pond has been high in the past, there was an old beaver lodge in the middle of where the pond used to go to. "
North Fork Buckeye Meadow Assessment,,North Fork Buckeye Meadow,UCDSNM011226,"Saturday, September 7, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,No,,No,0,No,No,Yes,Yes,Yes,Yes,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,1,0.1,,,38.186171,-119.507012,,In remote wilderness. Recently grazed by sheep. Meadow grasses are grazed down but not to stubble. Upland areas seem more impacted by grazing. Small perennial stream flows out of base of SW branch of meadow. 
Barney Lake Meadow Assessment,,Barney Lake Meadow,UCDSNM010995,"Monday, September 9, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,Yes,In wilderness ,No,0,Yes,Yes,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,0,0.3,,,38.13578,-119.440621,,No need for restoration. The whole meadow is very wet march. Water is knee to waist deep and was difficult to conduct transects. The two transects we did were done as thoroughly as possible. 
Big Meadow  Assessment,,Big Meadow ,UCDSNM011451,"Sunday, September 8, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Moderately Impacted,,Moderately Impacted,,,Moderately Impacted,,Natural Condition,,Slightly Impacted,Yes,There is some electric fence around the riparian area but it doesn't appear to be working. ,No,0,No,Yes,Yes,Yes,Yes,Yes,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,2,0.15,,,38.224755,-119.401355,,"There is a beaver dam at the very bottom of the meadow. The meadow looks health right above the dam but it would be a huge issue if the dam blew out. The road to this meadow is really rough, not sure you could drive there, its more of a trail. The meadow is heavily impacted by grazing. There are a lot of confusing forest boundry signs, not sure if there are private in holdings. Electric fence is not operating and the batteries were leaking acid. "
Robinson Creek Meadow  Assessment,,Robinson Creek Meadow ,UCDSNM011028,"Monday, September 9, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,Yes,In wilderness ,No,0,No,Yes,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,0,0.4,,,38.146455,-119.408859,,"Does not need to be restored. Transects were only done across the northern half of the meadow because the south half has waist deep water in it. Lots of willow, could be beaver influenced though no signs were observed. In very good condition. "
Horse Creek Meadow Assessment,,Horse Creek Meadow,UCDSNM010954,"Sunday, September 8, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,Yes,In wilderness ,No,0,No,Yes,No,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,0,0.05,,,38.128051,-119.379757,,"Does not need to be restored. Very nice high alpine meadow. Lots of stumps and dead trees, would be curious what roll beaver played. Saw three large bucks grazing. Braided channel. "
Upper Cattle Creek Meadow Assessment,,Upper Cattle Creek Meadow,UCDSNM010898,"Sunday, September 8, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,No,,No,0,No,No,Yes,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,0,0.1,,,38.117506,-119.352622,,In remote wilderness. In great shape. Historic trail/cattle trail but not recently grazed. Very wet non-point source springs from hillslopes. 
Green Creek Meadow  Assessment,,Green Creek Meadow ,UCDSNM010923,"Saturday, September 7, 2013",,Yes,American Rivers,,,,State Lands - State Lands Commission,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Slightly Impacted,Yes,State Wildlife Area,No,0,Yes,Yes,No,No,No,No,Jacob Dyste,No,Yes,Yes,No,No,Yes,No,No,Yes,No,0,0.5,,,38.120621,-119.249226,,"Does not need restoration. This meadow has been heavily changed by beaver activity. Most of it is flooded with at least knee deep water. Very challenging to conduct the veg transects but it was all graminoid or willow. Three meadow sections are divided by steeper sections with trees. There is an old wooded dam .5 miles downstream, not sure what it is used for, called Dynamo Pond. Saw 18 inch plus brown trout. "
Gomez Meadow  Assessment,,Gomez Meadow ,UCDSNM000505,"Monday, July 15, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,,Natural Condition,No,,Yes,2,No,No,Yes,No,No,No,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,2,0.01,,,36.30377,-118.119061,,"Meadow straddles divide. No continuous channel present, mostly overland flow except where stringers enter the meadow from the south. These channels dissipate once the enter the meadow. PCT armoring is causing some headcutting. A wood framework was set below the meadow surface and this has established a small dam that is being undercut. "
Schaeffer Meadow  Assessment,,Schaeffer Meadow ,UCDSNM000479,"Saturday, July 13, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,,Moderately Impacted,No,,Yes,6,No,No,No,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,1,0.01,,,36.287755,-118.195658,,"In remote wilderness. Meadow is relatively steep, lending to large number of headucts and a high vulnerability to further meadow loss/degradation. Below confluence of north and south arms meadow becomes naturally constrained to a narrow corridor by step walls. Very bottom of meadow is all willow. Bottom half of the north arm is incised with new meadow inset floodplain. Sage terrance above the new floodplain. Upper north arm has several channels and headcuts with some larger portitions of healthy meadow. Headcut locations on the map are approximate. "
Mulkey Meadow Center Assessment,,Mulkey Meadow Center,UCDSNM000971,"Wednesday, July 10, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Heavily Impacted,,Heavily Impacted,,,Heavily Impacted,,Moderately Impacted,,Natural Condition,Yes,There is some riparian fencing. ,No,0,No,No,Yes,Yes,Yes,Yes,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,0,0.01,,,36.410183,-118.174088,,There is an incised section with a floodplain in better condition. This section is in worse condition than the rest of the meadow. 
Mulkey Meadow Upper and Lower Assessment,,Mulkey Meadow Upper and Lower,UCDSNM000971,"Tuesday, July 9, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Natural Condition,,Slightly Impacted,,Slightly Impacted,Yes,Headcut stabilization and riparian fencing,Yes,3,No,No,Yes,Yes,Yes,Yes,Jacob Dyste,Yes,No,No,No,No,No,No,No,No,No,0,0.01,,,36.405809,-118.200753,,Inset floodplain surrounded by sage. Yellow legged frog was observed. The upper and lower sections of the meadow are in better condition in the center. Willows concentrated in exclosures and upper stringer. Upper reaches are a higher gradient. 
Templeton Upper Assessment,,Templeton Upper,UCDSNM000652,"Friday, July 12, 2013",,Yes,American Rivers,,,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Slightly Impacted,,Slightly Impacted,Yes,"Headcut stabilization, fencing, failed headcut repair. ",Yes,5,No,No,Yes,No,No,No,Jacob Dyste,Yes,No,No,No,Yes,No,No,No,No,No,0,0.03,,,36.322109,-118.228776,,Center reach is deeply incised with 6 inch peak layer on the surface. Terrace is mainly sagebrush. 
Boles Creek Meadow Assessment,MDF0257,Boles Creek Meadow,Boles Creek,"Sunday, July 17, 2011",,Yes,Center for Watershed Sciences,1428,1,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Moderately Impacted,Slightly Impacted,Slightly Impacted,No,,No,0,No,No,No,No,No,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,Yes,No,,Yes,No,No,No,0,0.01,,,41.827389,-120.991651,,
Head of Lake City Canyon Meadow Assessment,MDF0413,Head of Lake City Canyon Meadow,Head of Lake City Canyon,"Wednesday, July 13, 2011",,Yes,Center for Watershed Sciences,2177,0,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Heavily Impacted,Slightly Impacted,Heavily Impacted,No,for vegetative cover-if corn lillies count as graminoids then it should have a score of 4,No,0,No,Yes,No,Yes,Yes,Yes,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,Yes,No,No,,No,No,No,No,0,0.02,,,41.673338,-120.286278,,
Couch Creek #2 Meadow Assessment,MDF0446,Couch Creek #2 Meadow,Couch Creek #2,"Wednesday, July 13, 2011",,Yes,Center for Watershed Sciences,1659,2,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Slightly Impacted,Moderately Impacted,Moderately Impacted,No,much of the upper end of the meadow is very dry with weedy grasses,No,3,No,No,Yes,No,Yes,Yes,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,Yes,No,No,,No,No,Yes,No,5,0.07,,,41.61795,-120.329676,,
Pepperdine Glade Meadow Assessment,MDF0616,Pepperdine Glade Meadow,Pepperdine Glade,"Thursday, July 14, 2011",,Yes,Center for Watershed Sciences,1995,5,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Slightly Impacted,Moderately Impacted,Slightly Impacted,No,little erosion. multiple channels present.,No,0,No,No,No,No,Yes,Yes,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,Yes,No,1,0,,,41.476729,-120.244765,,
Grader Flat Meadow Assessment,MDF0887,Grader Flat Meadow,Grader Flat,"Thursday, July 14, 2011",,Yes,Center for Watershed Sciences,1940,2,,U.S. Forest Service,Natural Condition,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Natural Condition,Moderately Impacted,Slightly Impacted,No,west end of mdw is drying. possibly due to stream diversion?,No,0,No,No,Yes,No,Yes,Yes,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,Yes,No,Yes,No,0,0,,,41.35721,-120.313543,,
Roney Flat Meadow Assessment,MDF0986,Roney Flat Meadow,Roney Flat,"Tuesday, July 12, 2011",,Yes,Center for Watershed Sciences,1488,3,,U.S. Forest Service,Heavily Impacted,,Slightly Impacted,Natural Condition,Slightly Impacted,,,Natural Condition,Moderately Impacted,Moderately Impacted,Yes,Restoration in 1963-1964-erosion control in streams,No,0,Yes,No,No,No,No,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,Yes,No,Yes,No,0,0.03,,,41.308534,-120.937533,,
Little Parsnip Creek Meadow Assessment,MDF1445,Little Parsnip Creek Meadow,Blue Lake Ranch,"Saturday, July 16, 2011",,Yes,Center for Watershed Sciences,1820,5,,U.S. Forest Service,Natural Condition,,Natural Condition,Moderately Impacted,Moderately Impacted,,,Slightly Impacted,Slightly Impacted,Natural Condition,No,very small,No,0,No,No,No,No,No,Yes,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,No,No,0,0,,,41.15225,-120.318524,,
Blue Lake Ranch Meadow Assessment,MDF1370,Blue Lake Ranch Meadow,Blue Lake Ranch,"Friday, July 15, 2011",,Yes,Center for Watershed Sciences,1818,2,,U.S. Forest Service,Natural Condition,,Natural Condition,Moderately Impacted,Moderately Impacted,,,Natural Condition,Slightly Impacted,Slightly Impacted,No,"heavy grazing impacts, water diversions, fen in meadow on S end-very sensitive",No,0,No,Yes,Yes,Yes,Yes,Yes,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,Yes,No,Yes,No,1,0.05,,,41.161353,-120.290641,,
Parsnip Springs Meadow Assessment,MDF1397,Parsnip Springs Meadow,Parsnip Springs,"Saturday, July 16, 2011",,Yes,Center for Watershed Sciences,1967,4,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Moderately Impacted,No,complex; includes fens & steep meadows,No,0,No,Yes,No,No,No,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",Yes,No,Yes,No,No,,No,No,Yes,No,5,0.25,,,41.158425,-120.26255,,
Southeast Blue Lake Meadow Assessment,MDF1462,Southeast Blue Lake Meadow,Southeast Blue Lake,"Thursday, July 14, 2011",,Yes,Center for Watershed Sciences,1916,5,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Natural Condition,Slightly Impacted,,,Slightly Impacted,Natural Condition,Natural Condition,No,pristine,No,0,No,Yes,No,No,No,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,Yes,No,0,0.2,,,41.139654,-120.269002,,
Blacks Gulch Meadow Assessment,LNF0156,Blacks Gulch Meadow,Blacks Gulch,"Sunday, September 11, 2011",,Yes,Center for Watershed Sciences,1679,0,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Moderately Impacted,Moderately Impacted,,,Moderately Impacted,Moderately Impacted,Natural Condition,No,meadow is very dry and heavily impacted by cattle grazing,No,0,Yes,No,Yes,Yes,Yes,Yes,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",Yes,No,Yes,No,No,,Yes,No,Yes,No,1,0,,,40.825176,-121.17646,,
Plum Valley Meadow Assessment,LNF0251,Plum Valley Meadow,Plum Valley,"Saturday, September 10, 2011",,Yes,Center for Watershed Sciences,1431,1,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Moderately Impacted,Moderately Impacted,Slightly Impacted,No,"juniper encroachment, stream channel is dry and vegetated, meadow health is very poor",Yes,2,Yes,No,No,No,Yes,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,Yes,No,Yes,No,65,0,,,40.71737,-121.396426,,
